message,error_bit,codeword,received,decoded,pass
0010011,11,00001111100000,00101111100000,0010011,1
0010011,12,00001111100000,01001111100000,0010011,1
0010011,13,00001111100000,10001111100000,0010011,1
0010100,-1,00001111010010,00001111010010,0010100,1
0010100,0,00001111010010,00001111010011,0010100,1
0010100,1,00001111010010,00001111010000,0010100,1
0010100,2,00001111010010,00001111010110,0010100,1
0010100,3,00001111010010,00001111011010,0010100,1
0010100,4,00001111010010,00001111000010,0010100,1
0010100,5,00001111010010,00001111110010,0010100,1
0010100,6,00001111010010,00001110010010,0010100,1
0010100,7,00001111010010,00001101010010,0010100,1
0010100,8,00001111010010,00001011010010,0010100,1
0010100,9,00001111010010,00000111010010,0010100,1
0010100,10,00001111010010,00011111010010,0010100,1
0010100,11,00001111010010,00101111010010,0010100,1
0010100,12,00001111010010,01001111010010,0010100,1
0010100,13,00001111010010,10001111010010,0010100,1
0010101,-1,00001111010001,00001111010001,0010101,1
0010101,0,00001111010001,00001111010000,0010100,0
0010101,1,00001111010001,00001111010011,0010100,0
0010101,2,00001111010001,00001111010101,0010110,0
0010101,3,00001111010001,00001111011001,0010110,0
0010101,4,00001111010001,00001111000001,0010101,1
0010101,5,00001111010001,00001111110001,0010101,1
0010101,6,00001111010001,00001110010001,0010101,1
0010101,7,00001111010001,00001101010001,0010101,1
0010101,8,00001111010001,00001011010001,0010101,1
0010101,9,00001111010001,00000111010001,0010101,1
0010101,10,00001111010001,00011111010001,0010101,1
0010101,11,00001111010001,00101111010001,0010101,1
0010101,12,00001111010001,01001111010001,0010101,1
0010101,13,00001111010001,10001111010001,0010101,1
0010110,-1,00001111011101,00001111011101,0010110,1
0010110,0,00001111011101,00001111011100,0010110,1
0010110,1,00001111011101,00001111011111,0010110,1
0010110,2,00001111011101,00001111011001,0010110,1
0010110,3,00001111011101,00001111010101,0010110,1
0010110,4,00001111011101,00001111001101,0010110,1
0010110,5,00001111011101,00001111111101,0010110,1
0010110,6,00001111011101,00001110011101,0010110,1
0010110,7,00001111011101,00001101011101,0010110,1
0010110,8,00001111011101,00001011011101,0010110,1
0010110,9,00001111011101,00000111011101,0010110,1
0010110,10,00001111011101,00011111011101,0010110,1
0010110,11,00001111011101,00101111011101,0010110,1
0010110,12,00001111011101,01001111011101,0010110,1
0010110,13,00001111011101,10001111011101,0010110,1
0010111,-1,00001111011110,00001111011110,0010111,1
0010111,0,00001111011110,00001111011111,0010110,0
0010111,1,00001111011110,00001111011100,0010110,0
0010111,2,00001111011110,00001111011010,0010100,0
0010111,3,00001111011110,00001111010110,0010100,0
0010111,4,00001111011110,00001111001110,0010111,1
0010111,5,00001111011110,00001111111110,0010111,1
0010111,6,00001111011110,00001110011110,0010111,1
0010111,7,00001111011110,00001101011110,0010111,1
0010111,8,00001111011110,00001011011110,0010111,1
0010111,9,00001111011110,00000111011110,0010111,1
0010111,10,00001111011110,00011111011110,0010111,1
0010111,11,00001111011110,00101111011110,0010111,1
0010111,12,00001111011110,01001111011110,0010111,1
0010111,13,00001111011110,10001111011110,0010111,1
0011000,-1,00001100010111,00001100010111,0011000,1
0011000,0,00001100010111,00001100010110,0011000,1
0011000,1,00001100010111,00001100010101,0011000,1
0011000,2,00001100010111,00001100010011,0011000,1
0011000,3,00001100010111,00001100011111,0011000,1
0011000,4,00001100010111,00001100000111,0011000,1
0011000,5,00001100010111,00001100110111,0011000,1
0011000,6,00001100010111,00001101010111,0011000,1
0011000,7,00001100010111,00001110010111,0011000,1
0011000,8,00001100010111,00001000010111,0011000,1
0011000,9,00001100010111,00000100010111,0011000,1
0011000,10,00001100010111,00011100010111,0011000,1
0011000,11,00001100010111,00101100010111,0011000,1
0011000,12,00001100010111,01001100010111,0011000,1
0011000,13,00001100010111,10001100010111,0011000,1
0011001,-1,00001100010100,00001100010100,0011001,1
0011001,0,00001100010100,00001100010101,0011000,0
0011001,1,00001100010100,00001100010110,0011000,0
0011001,2,00001100010100,00001100010000,0011010,0
0011001,3,00001100010100,00001100011100,0011010,0
0011001,4,00001100010100,00001100000100,0011001,1
0011001,5,00001100010100,00001100110100,0011001,1
0011001,6,00001100010100,00001101010100,0011001,1
