msg_bits,message,received,decoded,pass
40,1000110010100000010010100000111110010001,11111011110001010011010010110100001111100011010010110000110010010110010011101111111011,1000110010100000010010100000111110010001,1
40,0110011111011010011110101100100100101011,00110001010000100101101011011000100000100110100001111101001110001110001101000111010111,0110011111011010011110101100100100101011,1
40,1010110110100101001001101111011111110000,11110100011101101101100010001101001000111000000110111000101011100101010110011100000000,1010110110100101001001101111011111110000,1
40,1001000111110001100000101111110100010001,11101000111011110010010110011111000101110000111101111001010110100010111111101111111011,1001000111110001100000101111110100010001,1
40,1111000010000111001101100010000011110101,11001001100111001111101100110010100100000110111101111111101100001100100110100001001011,1111000010000111001101100010000011110101,1
40,1000001011010100001011000110111110011011,11111011000011110110011000010010110011110111010111110001101110010110010000011011010111,1000001011010100001011000110111110011011,1
40,1010000010111100010010111110011100101001,11110100101100001111011110011001111111100011011110010100010000101001001101001000111011,1010000010111100010010111110011100101001,1
40,1111100011001100110100110101010011100011,11001001011001111100010100000101000001100010000000100001000100100000101001111100010111,1111100011001100110100110101010011100011,1
40,1110000101111111101010000110111101110010,11001010011100111101111001010101011010000100101100110001101100011010111010010011101100,1110000101111111101010000110111101110010,1
40,1101010010001110111001010011111110101011,11000110000100100011101111101010101110100100110100100000100101010110100001000111010111,1101010010001110111001010011111110101011,1
40,1100001000010101110001111100010101001111,11000111110011111011001111010001111010011111001001011001111111010001001000001001100111,1100001000010101110001111100010101001111,1
40,0101110111101111000001100110010100110101,00111101111010101110001010111001100111000011000101000001010011010010000001100001001011,0101110111101111000001100110010100110101,1
40,0110110111100101010101100001101011010000,00110001101101101110011001001101000100010001110101110011001110000111011000101100000000,0110110111100101010101100001101011010000,1
40,0000100111110101101110001000010111100100,01000000111110000010010110100001110110111010011111111011001111011110011001001110110000,0000100111110101101110001000010111100100,1
40,1001001100011110101110111101001111001100,11111000110000000101111100100110100001111010101110011010001000001001100100000101110000,1001001100011110101110111101001111001100,1
40,1010101011001001000110000001111111110010,11110100010001000111010100111100111011110001011100000011001001010101010110010011101100,1010101011001001000110000001111111110010,1
40,0001001011111011010101110100011001011101,00000011111000110111100101101011011000010001111010100010111100010100110111001010001011,0001001011111011010101110100011001011101,1
40,1011101000110110011000101100001110001111,11110111101010001011110001101101010000010111111101110101110011001010011111011001100111,1011101000110110011000101100001110001111,1
40,0110010000001100000111010001100001111010,00110001010011101100000011000101110000110010101000101111000101111011001001101000101100,0110010000001100000111010001100001111010,1
40,0000111011111000100110111011010001011011,00000000110110101011100101100111111110000001101110101011011000101111110111011011010111,0000111011111000100110111011010001011011,1
40,0000100100010010010100000111011011111111,00000000111110001100111111100011100011010010110000110010101011011011100101010101100111,0000100100010010010100000111011011111111,1
40,1100100010110101001001000100011110010010,11000001001110111111011101100001001000111000111011111110111100100110010011100011101100,1100100010110101001001000100011110010010,1
40,1000100101001101010110110101011100100001,11111010111110001101001000000110000100011101101101100001000111101001001110110011111011,1000100101001101010110110101011100100001,1
40,0101010110100001100100000100011111111010,00111101000100011101100110110011000101001110110000111110111100100101010101101000101100,0101010110100001100100000100011111111010,1
40,0111010111011001101100111101111111100010,00110010101000011110101011010100000110110101000010011010111001010100011001111111101100,0111010111011001101100111101111111100010,1
